"cmc","0.0","numOfColors","numOfReprints","power","rarity","toughness","keywords","releaseDate","price"
"3","0.8957446808510638","1","1","2.0","1","1.0","[u'Fear']","731397","0.19"
"5","7.446088203213163","1","1","3.0","1","3.0","[]","731397","0.17"
"1","12.9190155755747","0","1","0","5","0","[]","731397","0.18"
"2","55.69415800802103","1","3","0","5","0","[]","731397","1.45"
"4","34.349205904108494","1","1","2.0","14","2.0","[]","731397","0.32"
"8","26.357782819059494","1","2","6.0","14","6.0","[u'Trample']","731397","0.32"
"3","0","1","1","1.0","1","2.0","[]","731397","0.19"
"2","31.82778889534575","1","1","4.0","14","4.0","[]","731397","0.32"
"3","10.043627806203409","0","3","0","5","0","[]","731397","0.20"
"2","0","1","3","1.0","1","3.0","[]","731397","0.19"
"1","10.043627806203409","1","1","0","1","0","[]","731397","0.16"
"2","24.283436269644934","1","1","1.0","5","1.0","[u'Trample']","731397","0.22"
"2","11.47576687086169","0","1","0","1","0","[u'Trample']","731397","0.22"
"5","13.777697256404208","0","1","10.0","14","10.0","[]","731397","0.88"
"5","90.28233581957221","0","1","0","14","0","[]","731397","1.92"
"4","15.952254768518074","0","1","2.0","5","2.0","[u'Protection']","731397","0.20"
"1","158.24378836399669","0","2","0","1","0","[u'Chroma']","731397","0.84"
"2","23.833711433418355","1","4","1.0","5","1.0","[u'Haste']","731397","0.22"
"3","13.575013071435999","1","1","0","1","0","[u'Entwine', u'First strike']","731397","0.19"
"4","4.56718336087082","0","1","2.0","5","2.0","[]","731397","0.20"
"3","57.21526679465282","0","1","0","14","0","[u'Imprint']","731397","0.50"
"1","1.5678787878787879","1","1","0","1","0","[]","731397","0.19"
"3","43.55715718886039","1","5","0","5","0","[]","731397","2.01"
"2","67.67778396722325","1","1","0","1","0","[]","731397","1.57"
"2","1.545068027210884","1","1","1.0","1","1.0","[u'Haste', u'First strike']","731397","0.19"
"7","29.75884164074756","1","1","0","14","0","[u'Entwine']","731397","0.35"
"3","283.33341027355607","1","1","1.0","1","2.0","[]","731397","0.19"
"3","20.36759620283423","0","2","0","5","0","[u'Flying']","731397","0.37"
"1","3.8891400526174125","0","1","0","1","0","[u'Flying']","731397","0.17"
"2","39.37531362535153","0","1","0","5","0","[]","731397","0.39"
"5","32.76101589740537","1","1","2.0","5","3.0","[u'Fear']","731397","0.25"
"3","12.187722583731786","1","1","0","5","0","[]","731397","0.20"
"5","225.79318685494718","1","1","3.0","14","4.0","[]","731397","0.26"
"3","0.35480000000000006","1","5","3.0","14","2.0","[]","731397","0.78"
"3","4.196662165639526","0","3","0","5","0","[u'Double strike']","731397","0.24"
"1","29.013978715395396","1","1","0","14","0","[u'Haste']","731397","2.38"
"4","5.581459879770127","1","1","2.0","5","1.0","[]","731397","0.20"
"7","25.714864479977305","1","1","0","5","0","[u'Affinity']","731397","0.21"
"3","0","1","1","2.0","1","2.0","[]","731397","0.17"
"3","6.964668129464297","1","6","0","1","0","[]","731397","0.18"
"1","8.145015294845395","1","3","0","1","0","[]","731397","0.21"
"2","285.28314224847765","1","3","1.0","1","1.0","[]","731397","0.16"
"5","35.650449915728636","0","1","0","5","0","[u'Imprint']","731397","0.23"
"3","0","1","1","1.0","1","1.0","[]","731397","0.17"
"2","3.5476771043444435","1","21","0","1","0","[]","731397","0.16"
"2","21.793108850614356","1","1","1.0","1","3.0","[]","731397","0.17"
"2","10.176504987406075","0","1","0","1","0","[]","731397","0.19"
"5","8.017115814248887","1","1","2.0","1","4.0","[u'Protection', u'Flying']","731397","0.17"
"4","14.6395918542308","0","3","2.0","14","2.0","[u'Trample']","731397","0.36"
"4","0","1","1","1.0","1","4.0","[]","731397","0.18"
"4","49.02151467279837","0","1","4.0","5","4.0","[u'Flying']","731397","0.23"
"7","53.95011934607259","0","6","4.0","14","4.0","[u'Flying']","731397","4.85"
"5","11.416214257385933","1","1","0","5","0","[]","731397","0.22"
"3","16.2347292545387","1","1","2.0","1","2.0","[]","731397","0.19"
"3","123.53737066877177","0","1","0","14","0","[]","731397","0.57"
"3","15.56619910767657","1","1","0.0","5","3.0","[]","731397","0.23"
"1","27.675468206597213","1","1","0","1","0","[]","731397","0.17"
"3","25.05460609658676","1","1","4.0","14","4.0","[u'Protection']","731397","0.29"
"5","20.09242088720302","1","1","0","14","0","[]","731397","1.25"
"4","19.93744564439513","0","2","0.0","1","0.0","[u'Flying']","731397","0.17"
"3","3.4609689440993785","0","1","1.0","1","1.0","[]","731397","0.17"
"5","0.35480000000000006","1","1","4.0","1","2.0","[]","731397","0.17"
"0","66.12404547419254","0","2","0","14","0","[]","731397","67.64"
"6","20.122341644187635","1","1","3.0","1","3.0","[]","731397","0.18"
"5","69.44244220396479","1","1","0","14","0","[]","731397","0.41"
"8","19.793900529191436","1","3","6.0","14","7.0","[u'Trample']","731397","0.42"
"1","29.92492108348677","1","1","0","14","0","[]","731397","4.14"
"2","34.414439024216904","0","3","0","5","0","[]","731397","0.29"
"6","33.018847471702585","0","1","3.0","5","4.0","[u'Imprint', u'Protection']","731397","0.20"
"2","20.212034694960693","0","1","0","14","0","[]","731397","0.77"
"5","38.555839693515416","1","4","0","14","0","[u'Flying', u'Entwine']","731397","0.49"
"3","12.926366148089068","1","2","1.0","5","1.0","[]","731397","0.22"
"5","20.984072901413306","1","1","4.0","14","6.0","[]","731397","0.26"
"5","512.3097252751948","0","3","0","14","0","[]","731397","13.49"
"7","19.93744564439513","0","1","0.0","14","0.0","[u'Flying']","731397","0.46"
"0","285.28314224847765","1","2","0","1","0","[]","731397","1.06"
"3","3.971738551762888","0","4","1.0","1","4.0","[]","731397","0.19"
"5","3.860697449800898","1","3","0","1","0","[u'Affinity']","731397","0.54"
"2","12.829267546501729","1","1","0","5","0","[u'Entwine']","731397","0.23"
"4","57.73014440561987","1","1","0","1","0","[]","731397","0.18"
"1","6.274465310860171","1","2","1.0","5","1.0","[]","731397","0.21"
"3","5.4720957915825705","0","2","0","5","0","[]","731397","0.22"
"3","0","1","1","0","5","0","[]","731397","1.06"
"3","51.99845260887926","0","1","0","14","0","[]","731397","0.34"
"2","197.50546844953794","2","1","0","5","0","[]","731397","0.39"
"3","48.44616752010904","1","1","0","14","0","[]","731397","3.49"
"1","33.34517749257759","1","1","1.0","1","1.0","[]","731397","0.27"
"6","18.526404690749136","1","1","5.0","5","4.0","[]","731397","0.20"
"3","26.93594570019616","0","1","0","14","0","[]","731397","1.34"
"1","10.522024110475153","0","1","0","1","0","[]","731397","0.49"
"7","40.03446172243501","1","1","2.0","1","2.0","[u'Tribute']","731397","0.19"
"1","5.125119985130958","0","1","0","1","0","[]","731397","0.26"
"2","43.52908889041015","0","5","0","5","0","[u'Imprint']","731397","3.22"
"4","8.144423957259134","1","1","0","5","0","[]","731397","0.21"
"4","0.35480000000000006","1","1","2.0","1","3.0","[]","731397","0.17"
"5","27.243359526740136","0","2","0","14","0","[]","731397","0.00"
"2","19.26651431630756","1","1","0","14","0","[]","731397","0.32"
"1","67.16513179771445","1","1","0","1","0","[]","731397","0.18"
"4","40.453811164350434","0","1","0","14","0","[]","731397","0.35"
"3","19.69746882900224","1","1","1.0","14","2.0","[]","731397","4.23"
"6","0","1","1","5.0","1","3.0","[u'Trample']","731397","0.17"
"0","285.28314224847765","1","3","0","1","0","[]","731397","1.72"
"7","66.09316420938124","1","1","0","14","0","[u'Shadow']","731397","0.35"
"3","5.8563913363398115","1","4","0","5","0","[]","731397","0.23"
"1","11.72338256684931","1","1","0","1","0","[]","731397","0.18"
"7","16.256688318708708","0","5","0.0","14","0.0","[u'Flying']","731397","0.30"
"4","22.46485973746868","0","1","4.0","14","6.0","[]","731397","0.38"
"5","0","1","1","3.0","1","3.0","[u'First strike']","731397","0.18"
"4","9.239485026057524","0","1","1.0","5","3.0","[]","731397","0.20"
"6","31.496908551542127","0","2","0","14","0","[]","731397","4.29"
"4","45.17735682152609","1","1","0","5","0","[u'Entwine', u'Haste']","731397","0.23"
"6","17.817354223911963","1","1","0","14","0","[u'Entwine']","731397","0.42"
"2","34.88107505518307","0","1","0","14","0","[]","731397","0.34"
"3","36.9780916002691","1","1","0","14","0","[]","731397","2.99"
"2","2.530223591469438","1","20","0","1","0","[]","731397","0.19"
"6","11.671591992260504","1","1","0","5","0","[u'Entwine']","731397","0.20"
"3","6.119933408931895","1","3","0","1","0","[u'Entwine']","731397","0.16"
"1","94.96558157577417","1","1","1.0","1","1.0","[]","731397","0.18"
"4","7.552701266893954","1","1","2.0","5","2.0","[]","731397","0.20"
"7","1.0657999999999999","1","1","5.0","5","6.0","[]","731397","0.20"
"1","17.3261040815294","0","1","0","5","0","[]","731397","0.25"
"3","81.64585164314192","0","1","0","14","0","[u'Imprint']","731397","16.90"
"6","21.612185151579357","0","1","4.0","5","4.0","[u'Flying']","731397","0.20"
"4","3.249079663532902","1","1","0.0","1","1.0","[u'Flying']","731397","0.17"
"5","91.2638923142243","1","1","1.0","1","2.0","[u'Flying']","731397","0.17"
"2","0","0","1","2.0","1","1.0","[]","731397","0.18"
"3","58.63967879128085","1","3","0","5","0","[]","731397","3.30"
"2","10.526592921824978","1","2","0","1","0","[]","731397","0.19"
"4","69.57146398746336","1","2","2.0","5","3.0","[]","731397","0.23"
"3","10.002473629077976","1","1","0","1","0","[u'Entwine']","731397","0.19"
"4","0","1","1","2.0","1","3.0","[u'Flying']","731397","0.17"
"1","10.893579125437599","1","7","0","5","0","[]","731397","0.20"
"3","61.722495951658864","0","2","0","14","0","[]","731397","21.99"
"2","20.44977776912888","1","1","0","5","0","[]","731397","0.22"
"2","24.39139138037065","0","1","0","5","0","[]","731397","0.20"
"4","11.572945184706368","0","1","0","14","0","[]","731397","0.93"
"3","13.18255916365199","0","1","0","1","0","[u'Affinity']","731397","0.20"
"4","29.323964925955174","0","2","0","14","0","[]","731397","2.90"
"4","18.24824916089784","0","2","0","14","0","[]","731397","0.36"
"2","14.982157216140644","1","1","0","1","0","[u'Trample']","731397","0.50"
"1","7.001974115300305","0","1","0","5","0","[]","731397","0.23"
"3","15.768686370833478","1","1","1.0","14","1.0","[]","731397","0.89"
"3","9.471597552596801","1","4","2.0","5","2.0","[]","731397","0.22"
"4","1.545068027210884","1","3","3.0","1","2.0","[u'Haste']","731397","0.18"
"5","23.297189584528326","1","1","0","5","0","[]","731397","0.20"
"4","21.216453871299223","0","2","0","14","0","[]","731397","6.04"
"2","20.357845660780686","0","3","0","5","0","[]","731397","1.63"
"6","25.191829617286572","0","4","2.0","14","4.0","[u'Imprint']","731397","4.81"
"1","72.00237913015027","0","1","1.0","5","1.0","[]","731397","0.23"
"5","41.15559813782806","1","1","4.0","14","5.0","[]","731397","0.26"
"5","13.922493603580621","1","1","4.0","14","1.0","[u'Devour']","731397","0.32"
"2","11.838724315285063","1","1","1.0","14","1.0","[]","731397","1.29"
"4","11.911123979415645","1","1","0","14","0","[]","731397","0.33"
"2","12.701184513453816","1","1","1.0","5","1.0","[]","731397","0.21"
"5","21.588514296345174","0","1","0.0","5","0.0","[u'Trample']","731397","0.21"
"5","13.215580344926455","1","1","1.0","14","1.0","[]","731397","0.35"
"4","19.572343254393328","0","1","3.0","1","3.0","[]","731397","0.18"
"2","285.28314224847765","1","4","1.0","1","1.0","[]","731397","0.28"
"3","14.53963111427861","0","2","0","5","0","[]","731397","0.21"
"4","18.241052594318703","1","1","0","1","0","[]","731397","0.19"
"3","16.984738577814095","1","1","1.0","1","3.0","[]","731397","0.18"
"2","11.9620028374113","0","1","0","14","0","[]","731397","1.74"
"2","9.782970522785572","1","10","0","1","0","[]","731397","0.18"
"2","197.50546844953794","2","1","0","5","0","[]","731397","0.51"
"4","43.361253310976686","0","6","2.0","14","2.0","[]","731397","5.49"
"3","33.03300716577582","1","1","0","14","0","[]","731397","1.75"
"3","13.948457084790167","1","1","2.0","1","2.0","[u'First strike']","731397","0.17"
"0","302.7364474432829","0","2","0","1","0","[]","731397","1.07"
"2","7.500417087998653","1","3","0","1","0","[]","731397","0.18"
"3","19.52533247956827","1","2","0","14","0","[]","731397","1.56"
"2","285.28314224847765","1","3","1.0","1","1.0","[]","731397","0.18"
"3","15.210633178127189","1","1","0","1","0","[]","731397","0.17"
"4","96.07197209914207","0","1","0","5","0","[u'Imprint']","731397","0.23"
"6","1.1858714285714287","1","1","3.0","1","3.0","[]","731397","0.19"
"2","16.905137866708326","0","1","0","14","0","[u'Flip']","731397","2.32"
"0","249.01769489280085","0","2","0","14","0","[]","731397","31.49"
"3","22.63236761769489","1","1","1.0","5","1.0","[u'Flying']","731397","0.23"
"4","8.108268388421129","0","1","0","14","0","[]","731397","0.22"
"3","13.09031690092802","1","1","3.0","1","1.0","[]","731397","0.17"
"4","3.249079663532902","1","3","2.0","1","3.0","[u'Flying', u'First strike']","731397","0.19"
"3","41.11070270450028","1","1","0","1","0","[]","731397","1.14"
"4","11.10150401828778","1","6","0","5","0","[]","731397","0.20"
"3","16.480568372838277","1","1","2.0","1","2.0","[]","731397","0.19"
"5","0","1","1","2.0","14","2.0","[]","731397","0.38"
"1","16.530441776822364","0","1","0.0","1","0.0","[]","731397","0.17"
"1","21.855366783894574","0","2","0","5","0","[]","731397","0.23"
"3","124.7019337511403","0","4","3.0","5","3.0","[]","731397","0.21"
"1","19.32948052167583","0","1","0","5","0","[]","731397","1.23"
"6","9.626218044797767","1","2","0","5","0","[u'Entwine']","731397","0.20"
"4","3.4609689440993785","1","1","2.0","14","2.0","[]","731397","0.32"
"4","33.99514561092631","1","2","2.0","14","5.0","[]","731397","1.99"
"3","54.5241262607306","1","1","0.0","5","2.0","[]","731397","0.23"
"3","32.845278459040394","0","1","0","14","0","[]","731397","0.38"
"7","3.1139701770736252","0","5","4.0","1","4.0","[u'Affinity']","731397","0.29"
"1","21.94301914998719","1","1","1.0","1","1.0","[u'Flying']","731397","0.25"
"7","34.56873536357128","1","3","4.0","14","4.0","[u'Flying']","731397","0.41"
"1","18.232203634423612","1","1","0","1","0","[]","731397","0.19"
"2","12.824978112737508","1","5","1.0","5","2.0","[]","731397","0.47"
"3","10.767575820744813","1","1","0","5","0","[]","731397","0.20"
"3","285.28314224847765","1","4","0","1","0","[]","731397","0.84"
"3","15.719599562774675","1","1","0","14","0","[]","731397","0.94"
"1","16.191997060306328","1","2","0","1","0","[]","731397","0.20"
"5","20.433605936352834","0","1","2.0","5","2.0","[]","731397","0.20"
"3","35.75834631496837","0","1","0","14","0","[u'Haste']","731397","0.37"
"0","285.28314224847765","1","2","0","1","0","[]","731397","5.93"
"6","15.96235242629123","1","1","3.0","14","4.0","[u'Trample']","731397","0.26"
"3","27.355652262127297","1","1","0","14","0","[]","731397","0.30"
"2","11.831602347343503","0","7","0","5","0","[u'Haste']","731397","4.49"
"5","50.54578170483212","0","2","0","5","0","[]","731397","0.20"
"3","10.687829211557862","0","2","0","5","0","[]","731397","0.23"
"3","24.82640324592838","1","1","0","1","0","[u'Entwine']","731397","0.33"
"1","9.57326050905303","1","1","1.0","1","1.0","[]","731397","0.20"
"5","293.82641911572136","0","1","0","14","0","[]","731397","0.59"
"10","3.1139701770736252","1","2","1","14","1","[u'Flying', u'Affinity']","731397","0.67"
"3","10.649006435779617","1","2","0","1","0","[]","731397","0.17"
"3","12.8360798306627","0","1","0","1","0","[u'Affinity']","731397","0.22"
"2","14.460044556122252","1","4","0","5","0","[]","731397","1.41"
"2","20.28288268151453","1","1","1.0","1","1.0","[u'Flying']","731397","0.17"
"4","2.530223591469438","1","9","0","5","0","[]","731397","0.21"
"2","612.6847060706357","1","2","0","1","0","[u'Protection']","731397","0.17"
"2","3.249079663532902","1","4","2.0","5","2.0","[u'Flying']","731397","0.25"
"3","0","1","1","0","5","0","[]","731397","0.21"
"0","285.28314224847765","1","3","0","1","0","[]","731397","1.54"
"1","5.723372264766216","0","2","0","1","0","[]","731397","0.19"
"2","4.495366967557611","1","1","0","1","0","[]","731397","0.19"
"2","49.86806209744673","0","1","0","14","0","[]","731397","11.99"
"2","8.017115814248887","1","1","2.0","1","1.0","[u'Protection']","731397","0.17"
"3","161.8815046631687","0","3","0","14","0","[]","731397","6.00"
"0","248.84293684479093","0","4","0","14","0","[u'Imprint']","731397","18.01"
"6","21.305480875672327","0","5","1.0","14","1.0","[]","731397","0.63"
"3","46.25615429323963","1","1","0","14","0","[]","731397","0.43"
"4","40.91318920631045","1","1","0","5","0","[]","731397","0.20"
"1","5.362031749836841","0","3","0","1","0","[]","731397","0.46"
"1","2.8219301718663177","1","1","0","1","0","[u'Entwine']","731397","0.19"
"4","10.147104352754251","1","1","0.0","14","2.0","[]","731397","2.49"
"6","74.14314984019278","0","1","0","14","0","[]","731397","0.47"
"4","97.94444785484393","0","13","0","5","0","[]","731397","0.26"
"3","10.693664838454072","0","8","0","5","0","[u'Trample']","731397","0.72"
"5","43.63919925777015","1","1","4.0","14","4.0","[u'Trample', u'Grandeur']","732709","0.74"
"4","44.63683977672973","1","1","0","14","0","[]","732709","0.28"
"2","22.87721560152721","1","1","0","1","0","[]","732709","0.12"
"3","58.11138886616062","1","1","0","14","0","[]","732709","0.28"
"3","4.840405236253945","1","1","0","1","0","[u'Suspend']","732709","0.11"
"5","13.108666251861953","1","2","0","1","0","[u'Scry']","732709","0.11"
"5","25.821777856630227","1","1","2.0","14","3.0","[]","732709","1.80"
"2","3.7346987307257673","0","1","0","14","0","[u'Indestructible', u'Fortify']","732709","0.75"
"1","3.8910259087705086","1","1","0","1","0","[u'Flash']","732709","0.16"
"6","2.6466638007649204","1","2","0","1","0","[u'Delve']","732709","0.16"
"1","0.7542424242424242","1","1","0","5","0","[u'Scry', u'Buyback']","732709","1.92"
"5","24.51237645942053","1","1","4.0","14","3.0","[u'Flying', u'Haste', u'Grandeur']","732709","0.37"
"4","8.93115169272419","1","2","1.0","5","4.0","[u'Scry']","732709","0.21"
"4","23.79564306473695","1","2","2.0","1","2.0","[u'Scry']","732709","0.12"
"3","17.161448358005636","1","1","0","5","0","[]","732709","0.18"
"1","18.86092857016984","1","2","1.0","14","1.0","[]","732709","0.75"
"2","11.88231154818898","1","1","0","1","0","[u'Scry']","732709","0.16"
"5","20.97227931904162","1","2","3.0","5","4.0","[u'Cycling', u'Swampwalk']","732709","3.03"
"3","20.5796420225326","1","1","1.0","14","3.0","[u'Grandeur']","732709","0.75"
"7","52.093950762458974","0","2","0","14","0","[u'Flying', u'Trample', u'Protection', u'Haste', u'Vigilance', u'First strike']","732709","18.34"
"4","20.559591394353667","1","1","2.0","5","2.0","[]","732709","0.11"
"4","2.0322108843537414","2","1","3.0","1","2.0","[u'Haste', u'Echo']","732709","0.16"
"3","5.485314806531704","1","3","0","1","0","[u'Madness', u'Cycling']","732709","0.16"
"3","22.08864118939212","1","2","0","14","0","[]","732709","0.57"
"3","6.979672174645","1","1","0.0","5","2.0","[u'Defender', u'Haste']","732709","0.18"
"4","12.79172058239815","1","1","0.0","14","3.0","[u'Flying']","732709","7.53"
"2","22.186050610820235","1","2","1.0","1","1.0","[u'Frenzy']","732709","0.12"
"2","9.932759261736305","1","3","0","14","0","[u'Split second', u'Flying', u'Kicker']","732709","0.44"
"4","8.249235849736282","1","1","2.0","5","2.0","[]","732709","0.18"
"4","34.93006981981982","1","1","4.0","1","1.0","[u'Shadow', u'Hellbent']","732709","0.11"
"5","3.5347939492471876","2","1","3.0","1","3.0","[u'Flying', u'Morph']","732709","0.11"
"1","22.186050610820235","1","2","1.0","1","1.0","[u'Poisonous']","732709","0.57"
"8","52.48394138609789","1","1","5.0","14","6.0","[u'Vanishing', u'Flying', u'Morph']","732709","0.39"
"5","36.807858132133475","5","1","7.0","14","7.0","[]","732709","37.98"
"3","14.680686022018188","1","2","2.0","1","1.0","[u'Flying']","732709","0.11"
"4","9.955366017188597","1","1","6.0","14","6.0","[u'Trample', u'Echo']","732709","0.28"
"1","25.14857658157589","1","2","1.0","1","1.0","[u'Suspend']","732709","0.00"
"4","16.821117630854808","1","1","3.0","1","4.0","[]","732709","0.11"
"0","33.66478214794379","1","2","0","14","0","[]","732709","30.38"
"0","64.32235218596648","1","2","0","14","0","[]","732709","15.00"
"3","10.58009297361275","1","1","1.0","5","3.0","[u'Trample', u'Haste']","732709","0.11"
"4","23.670325265817187","1","1","3.0","14","3.0","[u'Grandeur']","732709","0.49"
"3","13.985844564644005","1","1","0","1","0","[u'Vigilance', u'Flashback', u'Cycling']","732709","0.16"
"2","11.560628408611311","1","2","0","14","0","[u'Vigilance', u'First strike', u'Lifelink']","732709","6.37"
"6","29.101910435149843","1","1","4.0","14","5.0","[u'Split second', u'Shroud']","732709","0.19"
"3","59.39535426908523","1","2","0","14","0","[]","732709","14.01"
"0","32.56824317266976","1","2","0","14","0","[]","732709","6.00"
"2","6.208026579120705","1","1","0","1","0","[u'Morph']","732709","0.16"
"3","2.9335522294712","1","2","0","5","0","[]","732709","0.18"
"5","3.249079663532902","1","1","3.0","1","3.0","[u'Flying']","732709","0.12"
"0","183.06373458494937","2","1","0","14","0","[]","732709","11.39"
"4","67.77147708184609","1","1","3.0","5","3.0","[u'Vanishing']","732709","0.38"
"3","15.236003865496038","1","1","2.0","5","1.0","[u'Flash', u'Flying']","732709","7.47"
"4","57.10411029396879","1","1","0","5","0","[]","732709","0.22"
"0","142.88740445757216","0","5","0","5","0","[u'Morph']","732709","0.00"
"2","43.751554569116166","2","1","0","14","0","[]","732709","8.15"
"5","6.375","1","1","3.0","1","1.0","[u'Shadow', u'Suspend']","732709","0.11"
"2","34.16542938771518","1","2","2.0","5","2.0","[u'Sweep']","732709","0.19"
"2","0","1","2","0","1","0","[u'Delve']","732709","0.45"
"5","0","1","1","4.0","1","4.0","[]","732709","0.16"
"4","62.315551711924854","1","1","3.0","5","3.0","[]","732709","0.15"
"2","30.64258530776801","1","2","0","1","0","[u'Cycling']","732709","0.19"
"4","58.744469186280746","1","1","4.0","14","3.0","[]","732709","0.49"
"2","0","1","1","3.0","1","1.0","[]","732709","0.16"
"0","147.10714697060092","1","5","0","5","0","[u'Scry']","732709","0.22"
"3","0","1","1","2.0","1","3.0","[]","732709","0.16"
"2","15.631042735582783","1","3","2.0","1","1.0","[]","732709","0.16"
"2","87.56780709258895","1","2","1.0","5","1.0","[u'Flying']","732709","3.49"
"5","19.00292146631792","1","2","0","5","0","[u'Fateseal']","732709","0.37"
"4","21.25119859109047","1","1","2.0","1","2.0","[u'Madness']","732709","0.25"
"4","15.081428792856808","1","1","0","1","0","[]","732709","0.19"
"4","35.93016380883837","1","2","2.0","14","2.0","[u'Flying']","732709","0.00"
"5","22.186050610820235","1","1","3.0","1","3.0","[u'Absorb']","732709","0.12"
"0","144.54312112423884","1","3","0","5","0","[u'Dredge']","732709","3.16"
"2","0.5004166666666667","1","1","1.0","1","1.0","[u'Flanking', u'Bloodthirst']","732709","0.16"
"3","31.414693304748898","0","1","0","14","0","[]","732709","0.00"
"6","21.377263131294402","1","1","0","14","0","[u'Madness', u'Hellbent']","732709","0.43"
"8","3.249079663532902","1","1","6.0","14","6.0","[u'Flying']","732709","2.00"
"4","9.016037828215397","1","1","0","14","0","[]","732709","1.45"
"0","283.2590351056205","2","3","0","14","0","[]","732709","11.48"
"3","36.70532881951332","1","1","0","5","0","[u'Suspend']","732709","0.21"
"3","12.527490113980146","1","1","6.0","5","6.0","[u'Vanishing', u'Kicker']","732709","0.19"
"2","10.002294152414498","0","1","1.0","5","1.0","[]","732709","0.19"
"2","8.57298408373161","1","1","0","1","0","[u'Convoke', u'Buyback']","732709","0.37"
"5","32.49881084302593","1","1","0","14","0","[]","732709","0.29"
"4","0.0","1","1","-1.0","5","3.0","[u'Double strike']","732709","0.11"
"3","3.417367205542727","1","1","8.0","14","0.0","[u'Trample']","732709","1.48"
"2","3.65476180723555","1","1","0","5","0","[]","732709","0.00"
