"cmc","description","numOfColors","numOfReprints","power","rarity","toughness","keywords","releaseDate","price"
"3","metalcraft — this costs less to cast if you control three or more artifacts. counter target spell.","1","2","0","1","0","[u'Metalcraft']","733951","0.22"
"3","flying when this enters the battlefield you gain 2 life.","1","2","2.0","1","2.0","[u'Flying']","733951","0.20"
"4","flying metalcraft — when this enters the battlefield if you control three or more artifacts return target creature to its owner's hand.","1","1","2.0","1","2.0","[u'Flying', u'Metalcraft']","733951","0.20"
"0"," add or to your mana pool.","2","1","0","14","0","[]","733951","5.00"
"1","metalcraft — : tap target artifact creature or land. activate this ability only if you control three or more artifacts.","1","1","1.0","1","1.0","[u'Metalcraft']","733951","0.18"
"6","when this enters the battlefield put a -1/-1 counter on each creature target player controls. proliferate then proliferate again.","0","1","0","14","0","[u'Proliferate']","733951","13.19"
"6","enchant permanent when this enters the battlefield if enchanted permanent is tapped untap it. you control enchanted permanent.","1","1","0","5","0","[]","733951","0.23"
"1","trample equipment attached to it.","1","1","1.0","1","1.0","[u'Trample']","733951","0.19"
"1","sacrifice this: search your library for a basic land card reveal it and put it into your hand. then shuffle your library. when this is put into a graveyard from the battlefield you may pay . if you do draw a card.","1","1","0","1","0","[]","733951","0.19"
"2","infect whenever this becomes blocked it gets +2/+2 until end of turn.","0","1","1.0","1","1.0","[u'Infect']","733951","0.81"
"4","infect when this enters the battlefield you may return target creature card with infect from your graveyard to your hand.","0","1","2.0","1","2.0","[u'Infect']","733951","0.21"
"5","destroy all equipment attached to that creature.","1","2","0","1","0","[]","733951","0.18"
"3"," when this enters the battlefield target creature is unblockable this turn.","1","2","2.0","1","1.0","[]","733951","0.18"
"3","metalcraft — this has flying as long as you control three or more artifacts.","0","1","2.0","1","2.0","[u'Flying', u'Metalcraft']","733951","0.18"
"4","flash enchant creature enchanted creature doesn't untap during its controller's untap step.","1","2","0","1","0","[u'Flash']","733951","0.19"
"2","sacrifice an artifact: proliferate.","0","1","0","5","0","[u'Proliferate']","733951","0.23"
"3","other myr creatures you control get +1/+1. untap each other myr you control.","0","1","2.0","5","2.0","[]","733951","0.60"
"3","you may choose not to untap this during your untap step. tap target artifact. it doesn't untap during its controller's untap step for as long as this remains tapped.","0","1","1.0","5","3.0","[]","733951","0.18"
"1","","1","1","1.0","1","1.0","[u'Infect']","733951","0.18"
"5","flying when this enters the battlefield return target artifact card from your graveyard to your hand. you gain life equal to that card's converted mana cost.","1","2","3.0","5","3.0","[u'Flying']","733951","0.18"
"3","sacrifice this: prevent all damage a source of your choice would deal to you this turn.","1","1","2.0","1","2.0","[]","733951","0.18"
"1","sacrifice this: target creature gains flying until end of turn. when this is put into a graveyard from the battlefield you may pay . if you do draw a card.","1","1","0","1","0","[u'Flying']","733951","0.19"
"4","target opponent reveals the top card of his or her library. this deals damage equal to the revealed card's converted mana cost to that player and each creature he or she controls. if a land card is revealed this way return this to its owner's hand.","1","1","0","14","0","[]","733951","0.29"
"7","","0","1","6.0","1","4.0","[]","733951","0.18"
"2"," put a charge counter on this. remove a charge counter from this: target player gains 3 life.","1","1","0","5","0","[]","733951","0.22"
"6","sacrifice this: you control target player during that player's next turn.","0","2","0","18","0","[]","733951","4.33"
"0","equipped creature gets +0/+3 and has vigilance. equip","0","2","0","1","0","[u'Vigilance']","733951","0.22"
"2","destroy target artifact.","1","20","0","1","0","[]","733951","0.18"
"5","","1","1","4.0","1","2.0","[u'First strike']","733951","0.18"
"1","reach whenever this blocks a creature with flying this gets +3/+0 until end of turn.","1","1","1.0","1","2.0","[u'Flying', u'Reach']","733951","0.19"
"4","when this enters the battlefield put three -1/-1 counters on target creature.","1","2","3.0","5","3.0","[]","733951","0.22"
"2","defender","1","1","0.0","1","6.0","[u'Defender', u'Reach']","733951","0.24"
"4","as long as this is on the battlefield it has all activated abilities of all creature cards in all graveyards.","1","1","4.0","14","3.0","[]","733951","0.49"
"2","whenever you cast an artifact spell you may draw a card. if you do discard a card.","1","1","2.0","5","1.0","[]","733951","0.25"
"0"," add or to your mana pool.","2","1","0","14","0","[]","733951","7.59"
"2","equipped creature gets +2/+2 has intimidate and is a black zombie. whenever a nontoken creature is put into your graveyard from the battlefield you may pay . if you do return that card to the battlefield and attach this to it. equip","0","1","0","14","0","[u'Intimidate']","733951","4.55"
"2","prevent all damage one or two target creatures would deal this turn.","1","2","0","1","0","[]","733951","0.18"
"2","whenever a player casts an artifact spell you may gain 1 life.","0","2","0","5","0","[]","733951","0.20"
"4","destroy target artifact or enchantment. draw a card.","1","2","0","5","0","[]","733951","0.18"
"4","","0","1","0","14","0","[]","733951","0.35"
"2","whenever you cast an artifact spell you may have target creature get +2/+0 and gain deathtouch until end of turn.","1","1","2.0","5","1.0","[u'Deathtouch']","733951","0.18"
"2","","1","2","1.0","1","4.0","[]","733951","0.18"
"3","equipped creature gets +1/+1 and has haste. equip","0","2","0","1","0","[u'Haste']","733951","0.22"
"3","flying when this enters the battlefield you lose 3 life.","1","2","3.0","5","3.0","[u'Flying']","733951","0.18"
"5","sacrifice three artifacts: search your library for an artifact card and put it onto the battlefield. then shuffle your library.","0","1","3.0","14","5.0","[]","733951","2.00"
"3","proliferate. draw a card.","1","2","0","1","0","[u'Proliferate']","733951","0.22"
"4","as an additional cost to cast this sacrifice a creature. destroy target creature. its controller loses life equal to the number of creatures put into all graveyards from the battlefield this turn.","1","1","0","5","0","[]","733951","0.20"
"2","","1","3","0","5","0","[]","733951","0.21"
"4","at the beginning of your upkeep sacrifice this unless you discard a card. exile a creature card from your graveyard: this deals 4 damage to target creature or player. regenerate this.","0","1","4.0","18","4.0","[]","733951","0.53"
"3","reveal the top x cards of your library. you may put any number of permanent cards with converted mana cost x or less from among them onto the battlefield. then put all cards revealed this way that weren't put onto the battlefield into your graveyard.","1","1","0","14","0","[]","733951","7.00"
"4","when this enters the battlefield destroy target artifact.","1","1","3.0","5","3.0","[]","733951","0.18"
"2","metalcraft — as long as you control three or more artifacts this gets +2/+2 and has flying.","1","1","1.0","1","1.0","[u'Flying', u'Metalcraft']","733951","0.22"
"3","sacrifice this: destroy target artifact or enchantment.","1","1","1.0","1","3.0","[]","733951","0.20"
"1","sacrifice this: exile all cards from target player's graveyard. when this is put into a graveyard from the battlefield you may pay . if you do draw a card.","1","2","0","1","0","[]","733951","0.32"
"5","trample haste infect at the beginning of the end step sacrifice this.","1","1","5.0","14","3.0","[u'Infect', u'Trample', u'Haste']","733951","0.25"
"3","put a token that's a copy of this onto the battlefield.","0","1","1.0","14","1.0","[]","733951","0.28"
"4","metalcraft — this gets +2/+2 as long as you control three or more artifacts.","1","1","2.0","1","4.0","[u'Metalcraft']","733951","0.17"
"3","imprint — whenever a nontoken creature is put into a graveyard from the battlefield you may exile that card. if you do return each other card exiled with this to its owner's graveyard. put a token onto the battlefield that's a copy of the exiled card. it gains haste. exile it at the beginning of the next end step.","0","1","0","14","0","[u'Imprint', u'Haste']","733951","2.27"
"1","whenever this attacks untap each other creature you control.","1","3","1.0","1","1.0","[]","733951","0.20"
"1","target creature is indestructible this turn.","1","1","0","1","0","[u'Indestructible']","733951","0.18"
"0","metalcraft — : add one mana of any color to your mana pool. activate this ability only if you control three or more artifacts.","0","3","0","18","0","[u'Metalcraft']","733951","43.00"
"6","whenever this attacks gain control of target equipment an opponent controls until end of turn. attach it to this. when you lose control of that equipment unattach it.","1","1","4.0","5","4.0","[]","733951","0.18"
"1","","1","2","1.0","14","1.0","[]","733951","0.37"
"6","intimidate put target artifact or creature card with converted mana cost x from an opponent's graveyard onto the battlefield under your control tapped. then that player puts the top x cards of his or her library into his or her graveyard.","1","1","5.0","18","5.0","[u'Intimidate']","733951","9.26"
"3","other blue creatures you control get +1/+1. target artifact creature becomes blue until end of turn. tap an untapped blue creature you control: add to your mana pool. spend this mana only to cast artifact spells or activate abilities of artifacts.","1","1","1.0","14","3.0","[]","733951","2.45"
"2","whenever you cast an artifact spell you may pay . if you do you gain 3 life.","1","1","2.0","5","1.0","[]","733951","0.20"
"1","target creature gets +1/+1 and gains first strike until end of turn.","1","1","0","1","0","[u'First strike']","733951","0.18"
"3","sacrifice this: you draw two cards and lose 2 life.","1","1","2.0","1","2.0","[]","733951","0.18"
"4","metalcraft — as long as you control three or more artifacts this gets +4/+4 and has trample.","1","1","4.0","14","4.0","[u'Trample', u'Metalcraft']","733951","0.31"
"3","","0","1","0.0","5","1.0","[u'Indestructible']","733951","0.22"
"4","haste infect","1","1","2.0","1","1.0","[u'Infect', u'Haste']","733951","0.19"
"8","trample whenever this deals combat damage to a player you may choose any number of target lands you control and put an awakening counter on each of them. each of those lands is an 8/8 green elemental creature for as long as it has an awakening counter on it. they're still lands.","1","1","8.0","18","8.0","[u'Trample']","733951","3.24"
"5","target artifact creature gets +1/+1 until end of turn. target artifact creature gains your choice of flying trample or haste until end of turn.","0","1","3.0","5","3.0","[u'Trample', u'Flying', u'Haste']","733951","0.18"
"4","you gain 1 life for each creature on the battlefield. prevent all combat damage that would be dealt this turn.","1","1","0","1","0","[]","733951","0.19"
"1","sacrifice this: put a -1/-1 counter on target creature.","1","1","1.0","1","1.0","[]","733951","0.21"
"4","infect target creature blocks this this turn if able.","1","1","1.0","5","5.0","[u'Infect']","733951","0.21"
"1","as an additional cost to cast this sacrifice an artifact. put three 1/1 red goblin creature tokens onto the battlefield.","1","1","0","1","0","[]","733951","0.25"
"4","name a nonland card. search target player's graveyard hand and library for any number of cards with that name and exile them. then that player shuffles his or her library.","1","2","0","14","0","[]","733951","0.31"
"2","sacrifice an artifact: this gains haste until end of turn.","1","1","2.0","1","1.0","[u'Haste']","733951","0.18"
"1","sacrifice this: target creature can't block this turn. when this is put into a graveyard from the battlefield you may pay . if you do draw a card.","1","2","0","1","0","[]","733951","0.18"
"2","add to your mana pool.","1","3","1.0","1","1.0","[]","733951","0.20"
"4","metalcraft — when this enters the battlefield if you control three or more artifacts this gets +3/+3 and gains haste until end of turn.","1","1","3.0","1","3.0","[u'Haste', u'Metalcraft']","733951","0.18"
"3","add to your mana pool.","0","2","2.0","5","2.0","[]","733951","0.53"
"2","infect regenerate this.","1","1","1.0","1","1.0","[u'Infect']","733951","0.69"
"0"," add or to your mana pool.","2","1","0","14","0","[]","733951","13.49"
"3","when this enters the battlefield you may search your library for an artifact card with converted mana cost 1 or less reveal that card and put it into your hand. if you do shuffle your library.","1","3","2.0","5","2.0","[]","733951","0.32"
"6","flying destroy target artifact. this gets + x/+0 until end of turn where x is that artifact's converted mana cost.","1","2","5.0","14","5.0","[u'Flying']","733951","0.31"
"4","protection from artifacts infect","1","1","3.0","1","1.0","[u'Infect', u'Protection']","733951","0.18"
"5","flying infect","1","1","4.0","18","4.0","[u'Infect', u'Flying', u'Haste']","733951","14.00"
"3","whenever you cast an artifact spell you may put a charge counter on this. remove three charge counters from this: put a 3/3 colorless golem artifact creature token onto the battlefield.","0","1","0","1","0","[]","733951","0.22"
"5","flying when this enters the battlefield draw a card then discard a card.","1","1","3.0","1","3.0","[u'Flying']","733951","0.18"
"3","choose two target creatures. tap those creatures then unattach all equipment from them.","1","1","0","1","0","[]","733951","0.19"
"2","add to your mana pool.","1","4","1.0","1","1.0","[]","733951","0.25"
"2","each opponent loses x life. you gain life equal to the life lost this way.","1","1","0","5","0","[]","733951","1.72"
"3","equipped creature gets +2/+2 and has protection from green and from blue. whenever equipped creature deals combat damage to a player you put a 2/2 green wolf creature token onto the battlefield and that player puts the top ten cards of his or her library into his or her graveyard. equip","0","2","0","18","0","[u'Protection']","733951","12.95"
"3","equipped creature doesn't untap during its controller's untap step. equipped creature has "" : this creature deals 2 damage to target creature or player."" equip","0","1","0","5","0","[]","733951","0.20"
"2","put a charge counter on this. sacrifice this: destroy each nonland permanent with converted mana cost equal to the number of charge counters on this.","0","3","0","14","0","[]","733951","0.99"
"2","target creature gets -4/-4 until end of turn.","1","2","0","1","0","[]","733951","1.12"
"4","destroy target land. this deals 2 damage to that land's controller.","1","1","0","1","0","[]","733951","0.20"
"4","flying metalcraft — artifacts you control have shroud as long as you control three or more artifacts.","1","2","4.0","18","4.0","[u'Shroud', u'Flying', u'Metalcraft']","733951","1.38"
"4","whenever a creature you control is put into a graveyard from the battlefield you may pay . if you do you gain x life.","1","1","0","5","0","[]","733951","0.22"
"5","whenever you cast a spell proliferate.","1","2","0","14","0","[u'Proliferate']","733951","3.29"
"2","infect when this is put into a graveyard from the battlefield you may put a -1/-1 counter on target creature.","0","1","1.0","5","1.0","[u'Infect']","733951","1.13"
"2","you gain 5 life.","1","1","0","1","0","[]","733951","0.18"
"3","equipped creature gets +4/-1. equip","0","1","0","5","0","[]","733951","0.21"
"4","whenever a permanent deals damage to you return it to its owner's hand.","1","1","0","14","0","[]","733951","0.66"
"4","put a charge counter on this. remove three charge counters from this: destroy target permanent.","0","1","0","18","0","[]","733951","4.00"
"6","flying destroy each nonland permanent with converted mana cost x whose controller was dealt combat damage by this this turn. activate this ability only once each turn.","0","3","5.0","14","5.0","[u'Flying']","733951","1.00"
"4","activate this ability only if this's power is 4 or greater.","1","3","2.0","5","3.0","[]","733951","0.21"
"4","metalcraft — this is a 5/5 golem artifact creature as long as you control three or more artifacts.","0","2","0","5","0","[u'Metalcraft']","733951","0.18"
"2","sacrifice a creature: put a charge counter on this. sacrifice this: draw a card for each charge counter on this.","0","2","0","5","0","[]","733951","0.22"
"0","x charge counters on it. until end of turn this becomes a construct artifact creature with "" this creature's power and toughness are each equal to the number of charge counters on it.""","0","2","0","14","0","[]","733951","0.33"
"6","haste","1","1","5.0","1","4.0","[u'Haste']","733951","0.19"
"8","your life total can't change.","0","1","8.0","18","8.0","[]","733951","18.99"
"6","flying remove a -1/-1 counter from this: put a -1/-1 counter on each other creature.","1","1","6.0","14","6.0","[u'Flying']","733951","0.29"
"1"," equipped creature gets +2/+0. equip","0","2","0","5","0","[u'Indestructible']","733951","0.24"
"4"," put a charge counter on this. remove a charge counter from this: put a 1/1 green insect creature token with infect onto the battlefield.","1","1","0","5","0","[u'Infect']","733951","0.22"
"2","flying whenever this deals combat damage to a player proliferate.","1","2","1.0","5","1.0","[u'Proliferate', u'Flying']","733951","0.25"
"4","flying metalcraft — : exile this. return it to the battlefield under your control at the beginning of the next end step. activate this ability only if you control three or more artifacts.","1","2","4.0","14","3.0","[u'Flying', u'Metalcraft']","733951","0.33"
"1","equipped creature gets +1/+0. whenever equipped creature is put into a graveyard you gain 3 life. equip","0","1","0","1","0","[]","733951","0.23"
"2","as long as this is equipped it has first strike and lifelink.","1","2","2.0","1","2.0","[u'First strike', u'Lifelink']","733951","0.17"
"5","imprint — when this enters the battlefield look at the top four cards of your library exile one face down then put the rest on the bottom of your library in any order. when this is put into a graveyard from the battlefield turn the exiled card face up. if it's a creature card put it onto the battlefield under your control.","0","1","2.0","5","2.0","[u'Imprint']","733951","0.21"
"2","add to your mana pool.","1","3","1.0","1","1.0","[]","733951","0.23"
"3"," remove a charge counter from this: tap target artifact or creature.","0","2","0","1","0","[]","733951","0.18"
